category,n_resumes,soc_code,onet_title,match_confidence,bls_title,bls_pct_women,note,onet_description
ACCOUNTANT,118,13-2011.00,Accountants and Auditors,high,Accountants and auditors,59.1,,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data."
ADVOCATE,118,23-1011.00,Lawyers,medium,Lawyers,42.9,"mixed: attorneys, patient/customer advocates, HR advocates","Represent clients in criminal and civil litigation and other legal proceedings, draw up legal documents, or manage or advise clients on legal transactions. May specialize in a single area or may practice broadly in many areas of law."
AGRICULTURE,63,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",medium,"Farmers, ranchers, and other agricultural managers",25.7,many are extension/advisory rather than farm operators,"Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities."
APPAREL,97,41-2031.00,Retail Salespersons,low,Retail salespersons,47.0,industry label; modal job is apparel retail associate/cashier,"Sell merchandise, such as furniture, motor vehicles, appliances, or apparel to consumers."
ARTS,103,25-3021.00,Self-Enrichment Teachers,low,,,industry label; modal job is arts educator/instructor or arts administrator,"Teach or instruct individuals or groups for the primary purpose of self-enrichment or recreation, rather than for an occupational objective, educational attainment, competition, or fitness."
AUTOMOBILE,36,49-3023.00,Automotive Service Technicians and Mechanics,medium,Automotive service technicians and mechanics,1.8,industry label; includes drivers and service managers,"Diagnose, adjust, repair, or overhaul automotive vehicles."
AVIATION,117,49-3011.00,Aircraft Mechanics and Service Technicians,low,Aircraft mechanics and service technicians,8.1,"industry label; mechanics, avionics technicians, supply and safety staff","Diagnose, adjust, repair, or overhaul aircraft engines and assemblies, such as hydraulic and pneumatic systems."
BANKING,115,13-2072.00,Loan Officers,low,,,"industry label; branch managers, analysts, specialists","Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, loan underwriters, and payday loan officers."
BPO,22,43-4051.00,Customer Service Representatives,medium,Customer service representatives,64.8,business-process outsourcing; call-centre and operations roles,"Interact with customers to provide basic or scripted information in response to routine inquiries about products and services. May handle and resolve general complaints. Excludes individuals whose duties are primarily installation, sales, repair, and technical support."
BUSINESS-DEVELOPMENT,120,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",medium,"Sales representatives of services, except advertising, insurance, financial services, and travel",30.2,,Sell services to individuals or businesses. May describe options or resolve client problems.
CHEF,118,35-1011.00,Chefs and Head Cooks,high,Chefs and head cooks,26.4,,"Direct and may participate in the preparation, seasoning, and cooking of salads, soups, fish, meats, vegetables, desserts, or other foods. May plan and price menu items, order supplies, and keep records and accounts."
CONSTRUCTION,112,11-9021.00,Construction Managers,medium,Construction managers,8.5,modal header is construction manager; also labourers and inspectors,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing."
CONSULTANT,115,13-1111.00,Management Analysts,medium,Management analysts,40.7,includes IT and HR consultants,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants."
DESIGNER,107,27-1024.00,Graphic Designers,medium,Other designers,45.6,"modal header is graphic designer; also interior, floral, CAD, instructional","Design or create graphics to meet specific commercial or promotional needs, such as packaging, displays, or logos. May use a variety of mediums to achieve artistic or decorative effects."
DIGITAL-MEDIA,96,13-1161.00,Market Research Analysts and Marketing Specialists,medium,Market research analysts and marketing specialists,62.3,modal header is digital marketing manager/specialist,"Research conditions in local, regional, national, or online markets. Gather information to determine potential sales of a product or service, or plan a marketing or advertising campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution. May employ search marketing tactics, analyze web metrics, and develop recommendations to increase search engine ranking and visibility to target markets."
ENGINEERING,118,17-2199.00,"Engineers, All Other",medium,"Engineers, all other",17.9,spans disciplines; many are technicians or engineering managers,All engineers not listed separately.
FINANCE,118,13-2051.00,Financial and Investment Analysts,medium,Financial and investment analysts,41.8,,"Conduct quantitative analyses of information involving investment programs or financial data of public or private institutions, including valuation of businesses."
FITNESS,117,39-9031.00,Exercise Trainers and Group Fitness Instructors,high,Exercise trainers and group fitness instructors,66.1,,"Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise."
HEALTHCARE,115,11-9111.00,Medical and Health Services Managers,medium,Medical and health services managers,75.3,industry label; administrative rather than clinical roles predominate,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations."
HR,110,13-1071.00,Human Resources Specialists,high,Human resources workers,78.3,,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas."
INFORMATION-TECHNOLOGY,120,15-1299.00,"Computer Occupations, All Other",medium,"Computer occupations, all other",26.0,modal header is information technology specialist/manager,All computer occupations not listed separately.
PUBLIC-RELATIONS,111,27-3031.00,Public Relations Specialists,high,,,"PR specialists, directors and interns","Promote or create an intended public image for individuals, groups, or organizations. May write or select material for release to various communications media. May specialize in using social media."
SALES,116,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",medium,Retail salespersons,47.0,account managers and field sales; BLS row is the nearest CPS category,Sell goods for wholesalers or manufacturers to businesses or groups of individuals. Work requires substantial knowledge of items sold.
TEACHER,102,25-2021.00,"Elementary School Teachers, Except Special Education",medium,Elementary and middle school teachers,79.2,mostly K-12 classroom teachers,Teach academic and social skills to students at the elementary school level.
